DATA,TIPO DE AT.,APARELHO,MARCA,STATUS,PECA_RECEBIDA,PRONTO,SAIDA,CONSERTADO,TECNICO,TEMPO_CONSERTO,MES_ANO
18/10/2018,BALCÃO,Aparador,Philco,Concluído,2019-02-15,2019-03-19,04/05/2019,sim,0,32,2019-02
29/10/2018,BALCÃO,Panela Pressão,Britania,Concluído,2018-11-21,2018-11-22,01/10/2019,sim,0,1,2018-11
31/10/2018,BALCÃO,Aquecedor,Britania,Concluído,2018-11-27,2018-12-14,22/01/2019,sim,0,17,2018-11
11/07/2018,BALCÃO,Panela,Britania,Concluído,2018-11-19,2018-11-19,01/09/2019,sim,0,0,2018-11
19/11/2018,BALCÃO,Aspirador,Philco,Concluído,2018-12-22,2019-03-01,01/08/2019,sim,0,69,2018-12
19/11/2018,BALCÃO,Frigobar,Philco,Concluído,2018-12-17,2019-10-01,01/10/2019,sim,0,288,2018-12
20/11/2018,BALCÃO,Cafeteira,Philco,Concluído,2018-12-22,2019-08-01,01/09/2019,sim,0,222,2018-12
27/11/2018,BALCÃO,Aspirador,Britania,Concluído,2018-12-22,2019-03-01,01/08/2019,sim,0,69,2018-12
12/03/2018,BALCÃO,Aspirador,Britania,Concluído,2018-12-22,2019-03-01,01/07/2019,sim,0,69,2018-12
12/04/2018,BALCÃO,Moedor,Philco,Concluído,2018-12-22,2019-04-01,01/08/2019,sim,0,100,2018-12
12/11/2018,BALCÃO,Panela,Britania,Concluído,2018-12-22,2019-07-01,14/01/2019,sim,0,191,2018-12
14/12/2018,BALCÃO,Notebook,Dell,Concluído,2019-03-20,2019-04-15,29/04/2019,sim,0,26,2019-03
17/12/2018,ETICKET,Batedeira,Britania,Concluído,2019-09-01,2019-09-01,01/10/2019,sim,0,0,2019-09
17/12/2018,ETICKET,Secador,Philco,Concluído,2019-09-01,2019-09-01,01/10/2019,sim,0,0,2019-09
19/12/2018,BALCÃO,Climatizador,Philco,Concluído,2019-02-18,2019-03-26,04/04/2019,sim,0,36,2019-02
21/12/2018,BALCÃO,Forno,Philco,Concluído,2019-09-01,2019-09-01,01/10/2019,sim,0,0,2019-09
01/03/2020,ON SITE,Lavadora,Panasonic,Concluído,2020-01-15,2020-01-17,17/01/2020,sim,0,2,2020-01
01/06/2020,ON SITE,Lavadora,Panasonic,Concluído,2020-01-15,2020-01-16,16/01/2020,sim,0,1,2020-01
01/06/2020,ETICKET,Panela Pressão,Midea,Concluído,2020-01-15,2020-01-16,20/01/2020,sim,0,1,2020-01
01/09/2020,ON SITE,Lava E Seca,Midea,Concluído,2020-01-15,2020-01-16,16/01/2020,sim,0,1,2020-01
18/01/2020,BALCÃO,Lavadora,Panasonic,Concluído,2020-02-20,2020-02-20,03/03/2020,sim,0,0,2020-02
20/01/2020,ON SITE,Refrigerador,Panasonic,Concluído,2020-02-14,2020-02-18,18/02/2020,sim,0,4,2020-02
25/01/2020,BALCÃO,Purificador,Midea,Concluído,2020-06-02,2020-07-02,08/05/2020,sim,0,30,2020-06
27/01/2020,ON SITE,Lava E Seca,Midea,Concluído,2020-06-02,2020-10-02,02/10/2020,sim,0,122,2020-06
28/01/2020,ON SITE,Refrigerador,Panasonic,Concluído,2020-01-30,2020-03-02,,sim,0,32,2020-01
30/01/2020,ON SITE,Refrigerador,Panasonic,Concluído,2020-02-27,2020-03-03,03/03/2020,sim,0,5,2020-02
02/04/2020,BALCÃO,Refrigerador,Panasonic,Concluído,2020-02-14,2020-02-17,03/03/2020,sim,0,3,2020-02
02/05/2020,ON SITE,Lava E Seca,Midea,Concluído,2020-02-13,2020-02-20,20/02/2020,sim,0,7,2020-02
02/06/2020,ON SITE,Refrigerador,Panasonic,Concluído,2020-02-20,2020-03-03,03/03/2020,sim,0,12,2020-02
02/10/2020,ON SITE,Lavadora,Panasonic,Concluído,2020-01-17,2020-02-22,22/02/2020,sim,0,36,2020-01
02/10/2020,ON SITE,Refrigerador,Panasonic,Concluído,2020-02-03,2020-07-03,03/07/2020,sim,0,151,2020-02
18/02/2020,ON SITE,Refrigerador,Panasonic,Concluído,2020-03-13,2020-03-23,23/03/2020,sim,0,10,2020-03
21/02/2020,ON SITE,Lavadora,Panasonic,Concluído,2020-02-03,2020-02-22,22/02/2020,sim,0,19,2020-02
26/02/2020,ON SITE,Lava E Seca,Midea,Concluído,2020-03-24,2020-03-25,25/03/2020,sim,0,1,2020-03
03/02/2020,ON SITE,Lavadora,Panasonic,Concluído,2020-03-13,2020-08-03,03/08/2020,sim,0,143,2020-03
03/02/2020,ETICKET,Aspirador,Midea,Concluído,2020-06-16,2020-06-18,26/06/2020,sim,0,2,2020-06
