DATA,TIPO DE AT.,APARELHO,MARCA,STATUS,PEÇA RECEBIDA,PRONTO,SAÍDA,CONSERTADO?
01-04-2021,ON SITE,Refrigerador,Panasonic,Concluido,00-00-0000,05-04-2021,01-04-2021,Sim
01-04-2021,ON SITE,Lavadora,Panasonic,Concluido,00-00-0000,01-04-2021,01-04-2021,Sim
01-04-2021,ON SITE,Lavadora,Panasonic,Concluido,18-01-2021,01-06-2021,01-06-2021,Sim
01-04-2021,BALCÃO,Aspirador,Midea,Concluido,00-00-0000,01-08-2021,20-01-2021,Sim
01-04-2021,ON SITE,Microondas Embutir,Panasonic,Indefinido,00-00-0000,00-00-0000,00-00-0000,Não
01-04-2021,ON SITE,Coifa,Midea,Concluido,00-00-0000,01-11-2021,01-11-2021,Sim
01-04-2021,BALCÃO,Robo,Wap,Troca,00-00-0000,00-00-0000,02-01-2021,não
01-04-2021,ETICKET,Aspirador,Midea,Concluido,00-00-0000,01-07-2021,13-01-2021,Sim
01-04-2021,ETICKET,Robo,Midea,Concluido,00-00-0000,01-12-2021,21-01-2021,Sim
01-04-2021,ETICKET,Aspirador,Midea,Concluido,00-00-0000,13-01-2021,20-01-2021,Sim
01-04-2021,ETICKET,Aspirador,Midea,Concluido,00-00-0000,01-07-2021,13-01-2021,Não
01-04-2021,ETICKET,Aspirador,Midea,Troca,00-00-0000,00-00-0000,00-00-0000,não
01-04-2021,ETICKET,Robo,Midea,Concluido,00-00-0000,15-01-2021,21-01-2021,Sim
01-04-2021,ETICKET,Aspirador,Midea,Concluido,00-00-0000,17-03-2021,26-03-2021,Sim
01-04-2021,ETICKET,Aspirador,Midea,Concluido,00-00-0000,01-08-2021,13-01-2021,Sim
01-04-2021,ETICKET,Aspirador,Midea,Concluido,00-00-0000,01-07-2021,14-01-2021,Sim
01-04-2021,ETICKET,Aspirador,Midea,Concluido,00-00-0000,01-07-2021,13-01-2021,Sim
01-04-2021,ETICKET,Aspirador,Midea,Concluido,00-00-0000,01-07-2021,13-01-2021,Sim
01-04-2021,ETICKET,Robo,Wap,Concluido,00-00-0000,01-07-2021,01-11-2021,sem defeito
01-04-2021,ON SITE,Lavadora,Panasonic,Concluido,00-00-0000,01-06-2021,01-06-2021,Sim
01-04-2021,BALCÃO,Robo,Wap,Concluido,00-00-0000,01-12-2021,16-01-2021,Sim
01-04-2021,BALCÃO,Fritadeira,Midea,Sem Conserto,00-00-0000,00-00-0000,26-01-2021,não
01-04-2021,ETICKET,Robo,Wap,Concluido,01-12-2021,01-12-2021,15-01-2021,Sim
01-04-2021,ETICKET,Robo,Wap,Concluido,01-12-2021,01-12-2021,14-01-2021,Sim
01-04-2021,ETICKET,Robo,Wap,Concluido,00-00-0000,01-08-2021,01-12-2021,sem defeito
01-04-2021,ETICKET,Robo,Wap,Concluido,15-01-2021,16-01-2021,19-01-2021,Sim
01-04-2021,ON SITE,Refrigerador,Panasonic,Troca,25-01-2021,00-00-0000,03-03-2021,não
01-04-2021,ON SITE,Lavadora,Panasonic,Concluido,00-00-0000,01-05-2021,01-05-2021,Sim
01-04-2021,ON SITE,Refrigerador,Panasonic,Cancelado,00-00-0000,00-00-0000,14-01-2021,Não
01-04-2021,ON SITE,Lavadora,Panasonic,ConcluãDo,00-00-0000,01-07-2021,01-07-2021,Sim
01-04-2021,ON SITE,Refrigerador,Panasonic,Concluido,18-01-2021,21-01-2021,21-01-2021,Sim
01-05-2021,ON SITE,Ar Condicionado,Midea,Indefinido,00-00-0000,00-00-0000,00-00-0000,Não
01-05-2021,BALCÃO,Micro Ondas,Midea,Concluido,00-00-0000,01-06-2021,01-07-2021,Sim
01-05-2021,BALCÃO,Adega,Midea,Concluido,00-00-0000,16-01-2021,22-01-2021,Sim
01-05-2021,ON SITE,Lavadora,Panasonic,ConcluãDo,00-00-0000,01-06-2021,01-06-2021,Sim
01-05-2021,ON SITE,Lavadora,Panasonic,ConcluãDo,18-01-2021,19-01-2021,19-01-2021,Sim
01-05-2021,BALCÃO,Ntb,Dell,Sem Conserto,00-00-0000,00-00-0000,27-01-2021,não
01-05-2021,ETICKET,Aspirador,Midea,Concluido,00-00-0000,01-07-2021,14-01-2021,Sim
01-05-2021,ETICKET,Aspirador,Midea,Concluido,00-00-0000,01-08-2021,13-01-2021,Sim
01-05-2021,ETICKET,Robo,Midea,Concluido,00-00-0000,02-04-2021,02-12-2021,Sim
