DATA,TIPO DE AT.,APARELHO,MARCA,TECNICO,STATUS,PEÇA RECEBIDA,PRONTO,SAÍDA,CONSERTADO?
03-01-2023,GB,Robo,Wap,Matheus Rosa,Concluído,12-01-2023,13-01-2023,24-01-2023,Sim
03-01-2023,GB,Robo,Midea,Matheus,Concluído,11-01-2023,26-01-2023,02-02-2023,Sim
03-01-2023,GB,Robo,Midea,Matheus,Concluído,11-01-2023,11-01-2023,30-01-2023,Sim
03-01-2023,FB,Robo,Wap,Matheus,Concluído,0,12-01-2023,02-02-2023,Sim
03-01-2023,FB,Lavadora,Panasonic,Brenno,Concluído,17-04-2023,10-04-2023,18-04-2023,Sim
03-01-2023,GB,Micro-Ondas,Midea,Luan,Concluído,16-01-2023,17-01-2023,20-01-2023,Sim
03-01-2023,FB,Purificador,Midea,Luan,Concluído,0,06-01-2023,19-01-2023,Sim
03-01-2023,GB,Micro Ondas,Panasonic,Luan,Concluído,11-01-2023,11-01-2023,16-01-2023,Sim
03-01-2022,GB,Robo,Midea,Mateus,Sem Defeito,0,0,17-01-2023,Não
04-01-2022,FON,Secadora,Eletrolux,Cvg,Concluído,0,13-02-2023,13-02-2023,Sim
04-01-2022,FON,Secadora,Eletrolux,Cvg / Osiel,Concluído,0,13-02-2023,13-02-2023,Sim
04-01-2022,GON,Refrigerador,Panasonic,Cvg  Acleilson/Osiel,Concluído,18-01-2023,23-01-2023,23-01-2023,Sim
04-01-2022,GON,Refrigerador,Panasonic,Cvg,Concluído,0,0,04-01-2023,Não
04-01-2022,GON,Refrigerador,Panasonic,Cvg,Concluído,0,04-01-2023,04-01-2023,Sim
04-01-2022,GON,Refrigerador,Panasonic,Cvg,Concluído,18-01-2023,21-01-2023,21-01-2023,Sim
04-01-2023,GON,Refrigerador,Panasonic,Osiel,Concluído,11-01-2023,12-01-2023,12-01-2023,Sim
04-01-2023,GON,Lavadora,Panasonic,Osiel,Concluído,11-01-2023,12-01-2023,12-01-2023,Sim
04-01-2023,GB,Robo,Wap,Matheus Rosa/Mateus,Concluído,16-01-2023,16-01-2023,20-01-2023,Sim
04-01-2023,GON,Refrigerador,Panasonic,Cvg,Concluído,0,04-01-2023,04-01-2023,Sim
04-01-2023,FB,Robo,Wap,Mateus,Concluído,0,13-01-2023,09-05-2023,Sim
04-01-2023,GB,Frigobar,Midea,Jacleilson,Sem Defeito,0,0,27-01-2023,Não
04-01-2023,FON,Redrigerador,Midea,Cvg,05/04/2023,0,05-04-2023,05-04-2023,Sim
04-01-2023,FB,Robo,Wap,Mateus,Concluído,0,11-01-2023,12-01-2023,Sim
05-01-2023,GON,Refrigerador,Panasonic,Osiel / Jacleilson,Concluído,0,23-01-2023,23-01-2023,Sim
05-01-2023,GON,Lavadora,Panasonic,Osiel,Concluído,11-01-2023,05-01-2023,05-01-2023,Sim
05-01-2023,FON,Lavadora,Panasonic,Cancelado,Cancelado,0,0,05-01-2023,Não
05-01-2023,GON,Refrigerador,Panasonic,Osiel,Concluído,0,0,05-01-2023,Não
05-01-2023,GON,Refrigerador,Panasonic,Cvg,Concluído,13-01-2023,21-01-2023,21-01-2023,Sim
05-01-2023,GON,Refrigerador,Panasonic,Osiel / Jacleilson,Concluído,0,12-01-2023,12-01-2023,Sim
05-01-2023,GB,Micro Ondas,Midea,Luan,Concluído,0,05-01-2023,06-01-2023,Sim
05-01-2023,GON,Lavadora,Panasonic,Osiel,Concluído,0,10-01-2023,10-01-2023,Sim
05-01-2023,GON,Lavadora,Panasonic,Cvg,Troca/Reembolso,0,0,13-03-2023,Não
05-01-2023,GON,Lavadora,Panasonic,Cvg,Concluído,0,07-01-2023,07-01-2023,Sim
05-01-2023,FON,Refrigerador,Panasonic,Osiel,Concluído,0,12-01-2023,12-01-2023,Sim
05-01-2023,GON,Refrigerador,Panasonic,Osiel,Concluído,0,09-01-2023,09-01-2023,Sim
05-01-2023,FB,Robo,Wap,Mateus,Concluído,0,10-02-2023,16-02-2023,Sim
05-01-2023,FON,Refrigerador,Panasonic,0,Cancelado,0,0,01-06-2023,Não
06-01-2023,GB,Fritadeira,Midea,Thiago,Concluído,0,0,10-01-2023,Sim
06-01-2023,FB,Fritadeira,Midea,Thiago,Concluído,0,11-01-2023,12-01-2023,Sim
06-01-2023,FON,Ar Condicionado,0,0,Cancelado,0,0,08-03-2023,Não
06-01-2023,FB,Micro Ondas,Midea,Luan,Concluído,0,12-01-2023,17-01-2023,Sim
06-01-2023,GB,Freezer,Midea,Breno,Concluído,0,09-03-2023,10-03-2023,Sim
06-01-2023,GON,Refrigerador,Panasonic,0,0,0,0,0,0
06-01-2023,FB,Robo,Wap,Mateus,Concluído,0,13-01-2023,20-01-2023,Sim
06-01-2023,FON,Lavadora,Panasonic,Cvg,Cancelada,0,0,0,Não
06-01-2023,GON,Lava E Seca,Midea,Cvg,Concluído,0,10-01-2023,10-01-2023,Não
06-01-2023,GON,Refrigerador,Panasonic,Osiel,Concluído,0,09-01-2023,09-01-2023,Sim
06-01-2023,GB,Robo,Wap,0,0,0,0,0,0
07-01-2023,GON,Refrigerador,Panasonic,Cvg,Concluído,0,07-01-2023,07-01-2023,Sim
