DATA,TIPO DE AT.,APARELHO,MARCA,STATUS,PEÇA RECEBIDA,PRONTO,SAÍDA,CONSERTADO?
01-02-2020,ON SITE,Lava E Seca,Midea,Concluído,0,18-01-2020,18-01-2020,Sim
01-02-2020,ON SITE,Lavadora,Panasonic,Concluído,0,01-04-2020,01-04-2020,Sim
01-02-2020,ON SITE,Ar Condicionado,Lg,Concluído,0,01-02-2020,01-02-2020,Sim
01-02-2020,BALCÃO,Ar Janela,Springer,Concluído,0,27-01-2020,27-01-2020,Sim
01-02-2020,ETICKET,Robo,Midea,Concluído,0,01-02-2020,01-03-2020,Sim
01-02-2020,ON SITE,Lavadora,Panasonic,Concluído,0,01-03-2020,01-03-2020,Sim
01-02-2020,ETICKET,Aspirador,Midea,Concluído,0,01-06-2020,15-01-2020,Sim
01-02-2020,BALCÃO,Desk,Montado,Sem Conserto,0,0,21-01-2020,Não
01-02-2020,ETICKET,Aspirador,Midea,Concluído,01-09-2020,01-03-2020,01-06-2020,Sim
01-02-2020,ON SITE,Ar Condicionado,Carrier,Concluído,0,01-06-2020,01-06-2020,Sim
01-02-2020,ETICKET,Aspirador,Midea,Concluído,0,01-07-2020,01-08-2020,Sim
01-02-2020,ON SITE,Ar Condicionado,Springer,Concluído,0,01-03-2020,01-03-2020,Sim
01-02-2020,BALCÃO,Ar Portatil,Midea,Concluído,0,21-01-2020,21-01-2020,Sim
01-02-2020,ETICKET,Aspirador,Midea,Concluído,01-09-2020,01-03-2020,01-06-2020,Sim
01-02-2020,ON SITE,Refrigerador,Panasonic,Sem Defeito,0,0,01-03-2020,Não
01-02-2020,ON SITE,Refrigerador,Panasonic,Concluído,0,01-03-2020,01-03-2020,Sim
01-03-2020,ON SITE,Lava E Seca,Midea,Concluído,0,01-08-2020,01-08-2020,Sim
01-03-2020,BALCÃO,Purificador,Midea,Concluído,01-09-2020,01-03-2020,25-09-2020,Sim
01-03-2020,ETICKET,Microondas,Midea,Concluído,01-09-2020,01-03-2020,01-06-2020,Sim
