DATA,ORDEM,TIPO_DE_AT,APARELHO,MARCA,TECNICO,STATUS,PECA_RECEBIDA,PRONTO,SAIDA,CONSERTADO
,1,FON,Lavadora,Panasonic,Luan,Concluído,0,19-01-2022,0,Sim
,2,FON,Ar Condicionado,Daikin,Cvg / Guilherme,Concluído,0,01-04-2022,01-04-2020,Sim
01-03-2022,3,FON,Lavadora,Panasonic,Luan,Concluído,0,01-04-2022,01-04-2022,Sim
01-03-2022,4,FON,Lavadora,Panasonic,Luan,Concluído,0,01-04-2022,01-04-2022,Sim
01-03-2022,5,FB,Fritadeira,Midea,Gabriel,Troca,0,0,14-05-2022,Não
01-03-2022,6,GB,Robo,Wap,Carlos,Concluído,0,01-03-2022,01-03-2022,Sim
01-03-2022,7,FB,Cpu,Montado,Luan,,0,13-01-2022,13-01-2022,Sim
01-03-2022,8,FON,Refrigerador,Panasonic,,,0,0,0,Não
01-03-2022,9,FON,Lavadora,Panasonic,Luan,Concluído,0,01-08-2022,01-08-2022,Sim
01-03-2022,10,FON,Forno De Embutir,Panasonic,Cvg / Guilherme,Concluído,0,01-04-2022,01-04-2022,Sim
01-03-2022,11,GON,Refrigerador,Panasonic,Cvg,Concluído,01-12-2022,15-01-2022,15-01-2022,Sim
01-03-2022,12,GON,Lavadora,Panasonic,Luan,Concluído,0,01-05-2021,01-05-2021,Sim
01-03-2022,13,GON,Refrigerador,Panasonic,Cvg,Concluído,0,01-03-2022,01-03-2022,Sim
01-03-2022,14,GON,Refrigerador,Panasonic,Cvg,DEV. SEM REPARO,0,0,17-01-2022,NÃO
01-03-2022,15,GON,Refrigerador,Panasonic,Luan,Concluído,0,01-04-2022,01-04-2022,Sim
01-03-2022,16,GON,Refrigerador,Panasonic,Guilherme,Concluído,0,01-08-2022,01-08-2022,Sim
01-03-2022,17,FON,Ar Condicionado,Midea,,,0,0,0,Não
01-03-2022,18,GON,Robo,Midea,Thiago,SEM DEFEITO,0,01-06-2022,01-10-2022,NÃO
01-04-2022,19,FB,Climatizador,Springer,Luan,Concluído,0,07-05-2022,19-07-2022,Sim
01-04-2022,20,GON,Refrigerador,Panasonic,Guilherme,Concluído,0,01-07-2022,01-07-2022,Sim
01-05-2022,21,GB,Robo,Wap,Carlos,SEM DEFEITO,0,01-05-2022,01-05-2022,NÃO
01-05-2022,22,GON,Lavadora,Panasonic,Luan,Concluído,0,01-12-2022,01-12-2022,Sim
01-05-2022,23,FB,Frigobar,Midea,,,0,0,0,Não
01-05-2022,24,GON,Lavadora,Panasonic,Luan,SEM DEFEITO,0,0,01-07-2022,NÃO
01-05-2022,25,GON,Refrigerador,Panasonic,Guilherme,Concluído,0,01-07-2022,01-07-2022,Sim
01-05-2022,26,GON,Ar Condicionado,Daikin,Guilherme,Concluído,0,01-10-2022,01-10-2022,Sim
01-05-2022,27,FON,Refrigerador,Panasonic,,,0,0,0,Não
01-05-2022,28,GON,Ar Condicionado,Midea,Cvg,Concluído,14-01-2022,14-01-2022,14-01-2022,Sim
01-06-2022,29,GON,Cooktop,Midea,Luan,Concluído,0,01-10-2022,01-10-2022,NÃO
01-06-2022,30,GON,Refrigerador,Panasonic,Guilherme,Concluído,0,01-11-2022,01-11-2022,Sim
01-06-2022,31,FON,Ar Condicionado,Midea,Guilherme/Ramon,Concluído,0,03-04-2022,03-04-2022,Sim
01-06-2022,32,GB,Fritadeira,Midea,Luiz,SEM CONSERTO,0,0,18-01-2022,NÃO
01-06-2022,33,GB,Robo,Midea,,,0,0,0,Não
01-06-2022,34,GON,Lavadora,Panasonic,Luan,Concluído,0,13-01-2022,13-01-2022,Sim
01-06-2022,35,GS,Refrigerador,Panasonic,Guilherme,Concluído,0,01-11-2022,01-11-2022,Sim
01-06-2022,36,GON,Lavadora,Panasonic,Luan,Concluído,0,01-10-2022,01-10-2022,Sim
01-07-2022,37,GON,Refrigerador,Panasonic,Guilheme,Concluído,0,01-11-2022,01-11-2022,Sim
01-07-2022,38,GB,Robo,Wap,Gabriel,Concluído,0,01-11-2022,13-01-2022,Sim
01-07-2022,39,GB,Robo,Wap,Thiago / Matheus,Concluído,0,14-01-2022,21-01-2022,Sim
01-07-2022,40,FB,Notebook,Dell,Luan,Concluído,0,24-01-2022,24-01-2022,Sim
01-08-2022,41,GB,Robo,Wap,,,0,0,0,Não
01-08-2022,42,FON,Lava E Seca,Midea,Luan,Concluído,0,25-01-2022,25-01-2022,Sim
01-08-2022,43,GON,Lavadora,Panasonic,Luan,Concluído,0,01-10-2022,01-10-2022,Sim
01-08-2022,44,FB,Climatizador,Consul,Luan,DESCARTE,0,0,15-01-2022,NÃO
,45,FB,Climatizador,Springer,Luiz,Concluído,0,28-01-2022,02-02-2022,Sim
01-08-2022,46,GON,Refrigerador,Panasonic,Cvg,Concluído,0,0,14-01-2022,NÃO
01-08-2022,47,GON,Lavadora,Panasonic,Cvg,Concluído,0,16-01-2022,16-01-2022,Sim
01-10-2022,48,GON,Ar Condicionado,Midea,Cvg,Concluído,0,04-07-2022,04-07-2022,Sim
01-10-2022,49,GON,Ar Condicionado,Midea,Cvg,Concluído,0,04-07-2022,04-07-2022,Sim
01-10-2022,50,GON,Lavadora,Panasonic,Luan,Concluído,0,14-01-2022,14-01-2022,Sim
01-10-2022,51,GON,Refrigerador,Panasonic,Cvg,Concluído,18-01-2022,24-01-2022,24-01-2022,Sim
01-11-2022,52,GON,Refrigerador,Panasonic,Cvg,TROCA DE PRODUTO,0,0,25-04-2022,NÃO
01-11-2022,53,GB,Microondas,Midea,Luiz,12/01/2022,0,01-12-2022,14-01-2022,Sim
01-11-2022,54,GON,Refrigerador,Midea,Cvg,RESSARCIMENTO,0,0,0,NÃO
01-10-2022,55,GON,Lavadora,Panasonic,Luan,Concluído,0,13-01-2021,13-01-2021,Sim
01-10-2022,56,FON,Refrigerador,Panasonic,,CANCELADA,0,0,22-01-2022,NÃO
01-10-2022,57,GB,Robo,Wap,Thiago,10/01/2022,0,01-11-2022,13-01-2022,Sim
01-10-2022,58,GON,Refrigerador,Panasonic,Cvg,Concluído,0,15-01-2022,15-01-2022,Sim
01-11-2022,59,GB,Robo,Midea,Gabriel,Concluído,19-01-2022,25-01-2022,31-01-2022,Sim
