DATA,TIPO DE AT.,APARELHO,MARCA,STATUS,PECA_RECEBIDA,PRONTO,SAIDA,CONSERTADO,TECNICO
01-03-2018,BALCÃO,Union,Positivo,Concluído,0,01-09-2018,01-11-2018,Sim,
01-03-2018,ON SITE,Lava E Seca,Midea,Concluído,0,01-04-2018,01-04-2018,Sim,
01-03-2018,BALCÃO,Ntb,Sony,0,0,0,0,0,
01-03-2018,ON SITE,Lava E Seca,Midea,Concluído,0,17-01-2018,17-01-2018,Sim,
01-04-2018,BALCÃO,Estabilizador,Positivo,Troca,0,0,01-09-2018,Não,
01-04-2018,ON SITE,Ar Condicionado,Midea,Concluído,0,01-08-2018,01-08-2018,Sim,
01-04-2018,ETICKET,Forno Elétrico,Midea,Concluído,0,02-12-2018,15-02-2018,Sim,
01-05-2018,ON SITE,Ar Condicionado,Midea,Concluído,0,02-08-2018,02-08-2018,Sim,
01-04-2018,BALCÃO,Digtv,Positivo,Cancelado,0,0,0,Não,
01-08-2018,ON SITE,Ar Condicionado,Midea,0,0,0,0,0,
01-05-2018,BALCÃO,Celular,Positivo,Concluído,0,30-01-2018,02-01-2018,Sim,
01-08-2018,ON SITE,Desk,Daten,Concluído,0,01-09-2018,01-09-2018,Sim,
01-05-2018,BALCÃO,Ntb,Lenovo,Concluído,0,01-06-2018,01-06-2018,Sim,
01-09-2018,ON SITE,Ar Condicionado,Toshiba,Concluído,0,31-10-2019,31-10-2019,Sim,
01-06-2018,BALCÃO,Digtv,Positivo,Troca,0,0,01-12-2018,Não,
01-09-2018,ON SITE,Ar Condicionado,Midea,Garantia Negada,0,01-11-2018,01-12-2018,Não,
01-08-2018,BALCÃO,Desk,Itautec,Concluído,0,02-05-2018,19-02-2018,Sim,
01-10-2018,ON SITE,Ar Condicionado,Midea,Concluído,0,02-03-2018,02-06-2018,Sim,
01-08-2018,BALCÃO,Ntb,Sti,Concluído,0,16-01-2018,17-01-2018,Sim,
01-10-2018,ON SITE,Lava E Seca,Midea,Concluído,0,01-11-2018,01-11-2018,Sim,
01-08-2018,BALCÃO,Desk,Hp,Concluído,0,01-11-2018,01-12-2018,Sim,
01-10-2018,ON SITE,Ar Condicionado,Midea,Concluído,0,01-11-2018,01-11-2018,Sim,
01-08-2018,BALCÃO,Celular,Positivo,Concluído,0,23-02-2018,24-02-2018,Sim,
01-10-2018,ON SITE,Ar Condicionado,Midea,Concluído,0,01-11-2018,01-11-2018,Sim,
01-08-2018,BALCÃO,Ntb,Itautec,Concluído,0,01-11-2018,01-12-2018,Sim,
01-12-2018,ON SITE,Ar Condicionado,Midea,Concluído,0,17-01-2018,17-01-2018,Sim,
01-08-2018,BALCÃO,Ntb,Positivo,Concluído,0,01-12-2018,13-01-2018,Sim,
01-12-2018,ON SITE,Ar Condicionado,Midea,Cancelado,0,0,0,Não,
01-09-2018,BALCÃO,Ntb,Philco,Concluído,0,0,20-01-2018,Sim,
01-12-2018,ON SITE,Ar Condicionado,Midea,0,0,0,0,0,
01-09-2018,BALCÃO,Ntb,Dell,Concluído,0,15-01-2018,15-01-2018,Sim,
01-12-2018,ON SITE,Ar Condicionado,Midea,0,0,0,0,0,
01-09-2018,BALCÃO,Desk,Positivo,Concluído,0,18-01-2018,19-01-2018,Não,
01-12-2018,ON SITE,Ar Condicionado,Midea,0,0,0,0,0,
01-09-2018,ETICKET,Microondas,Midea,Concluído,0,01-10-2018,0,Sim,
01-12-2018,ON SITE,Ar Condicionado,Midea,Concluído,0,01-12-2018,01-12-2018,Sim,
01-09-2018,BALCÃO,Desk,Intel,Concluído,0,16-01-2018,17-01-2018,Sim,
15-01-2018,ON SITE,Ar Condicionado,Midea,0,0,0,0,0,
01-10-2018,BALCÃO,Estabilizador,Positivo,Troca,0,0,01-10-2018,Não,
15-01-2018,ON SITE,Ar Condicionado,0,Cancelado,0,0,21-03-2018,Não,
01-10-2018,BALCÃO,Estabilizador,Positivo,Troca,0,0,01-10-2018,Não,
15-01-2018,ON SITE,Ar Condicionado,0,Cancelado,0,0,21-03-2018,Não,
01-10-2018,BALCÃO,Digtv,Positivo,Troca,0,0,01-12-2018,Não,
