Data de Preenchimento,Data de Pagamento,Mês,Ano,Valor (R$),Status de Pagamento,Categoria
3,3,Janeiro,2024,788$,PG,Tributos e Obrigações
5,5,Janeiro,2024,267$,PG,Utilidades
5,5,Janeiro,2024,812$,PG,Contabilidade
5,5,Janeiro,2024,822$,PG,Salários
5,5,Janeiro,2024,"1.353,37",PG,Salários
5,5,Janeiro,2024,"1.329,66",PG,Salários
5,5,Janeiro,2024,"1.498,90",PG,Salários
5,5,Janeiro,2024,"2.145,47",PG,Salários
5,5,Janeiro,2024,"957,88",PG,Salários
5,5,Janeiro,2024,"1.603,30",PG,Salários
5,5,Janeiro,2024,"1.335,00",PG,Pro Labore
5,5,Janeiro,2024,"1.335,00",PG,Pro Labore
5,5,Janeiro,2024,"500,00",PG,Auxílios e Adiantamentos
5,5,Janeiro,2024,"1.337,71",PG,Tributos e Obrigações
8,8,Janeiro,2024,"4.708,01",PG,Aluguel
9,8,Janeiro,2024,"427,30",PG,Tributos e Obrigações
11,11,Janeiro,2024,"1.464,66",PG,Rescisões
16,16,Janeiro,2024,"161,74",PG,Utilidades
16,16,Janeiro,2024,"70,78",PG,Utilidades
16,16,Janeiro,2024,"422,75",PG,Utilidades
19,19,Janeiro,2024,"696,04",PG,Adiantamentos
19,19,Janeiro,2024,"800,00",PG,Adiantamentos
19,19,Janeiro,2024,"1.519,47",PG,Tributos e Obrigações
19,19,Janeiro,2024,"84,58",PG,Tributos e Obrigações
19,19,Janeiro,2024,"2.767,23",PG,Tributos e Obrigações
25,24,Janeiro,2024,"64,54",PG,Telecomunicações
25,24,Janeiro,2024,"136,00",PG,Telecomunicações
25,24,Janeiro,2024,"149,90",PG,Telecomunicações
26,26,Janeiro,2024,"252,00",PG,Transporte
29,29,Janeiro,2024,"91,15",PG,Transporte
29,29,Janeiro,2024,"573,03",PG,Transporte
30,29,Janeiro,2024,"137,07",PG,Saúde e Segurança
31,31,Janeiro,2024,"228,00",PG,Transporte
31,31,Janeiro,2024,"200,00",PG,Combustível
31,31,Janeiro,2024,"1.700,00",PG,Benefícios
6,5,Janeiro,2024,"454,33",PG,Fornecedores
9,8,Janeiro,2024,"371,29",PG,Fornecedores
10,8,Janeiro,2024,"48,42",PG,Fornecedores
15,15,Janeiro,2024,"720,45",PG,Equipamentos e Manutenção
16,15,Janeiro,2024,"11,46",PG,Fornecedores
27,27,Janeiro,2024,"319,13",PG,Fornecedores
27,27,Janeiro,2024,"1.000,00",PG,Fornecedores
27,27,Janeiro,2024,"227,83",PG,Fornecedores
8,8,Janeiro,2024,"500,19",PG,Estagiários
8,8,Janeiro,2024,"500,19",PG,Estagiários
15,15,Janeiro,2024,"69,50",PG,Contas Bancárias
5,5,Janeiro,2024,"69,00",PG,Contas Bancárias
11,15,Janeiro,2024,"208,26",PG,Multas e Penalidades
2,2,Janeiro,2024,"196,56",PG,Materiais de Embalagem
11,11,Janeiro,2024,"824,60",PG,Materiais de Embalagem
15,15,Janeiro,2024,"895,72",PG,Serviços de Saúde
16,16,Janeiro,2024,"30,00",PG,Tecnologia e Mobilidade
24,24,Janeiro,2024,"377,00",PG,Materiais de Embalagem
29,29,Janeiro,2024,"196,56",PG,Materiais de Embalagem
14,15,Janeiro,2024,"1.684,84",PG,Compras de Produtos
12,12,Setembro,2024,"1.000,00",PG,Investimentos
12,12,Dezembro,2024,"135,36",PG,Materiais de Escritório
16,16,Dezembro,2024,"208,71",PG,Suprimentos para Pets
2,2,Outubro,2024,"137,53",PG,Seguros
31,31,Janeiro,2024,"89,93",PG,Serviços de Comunicação
10,10,Agosto,2024,"159,90",PG,Software e Sistemas
15,15,Dezembro,2024,"323,18",PG,Eventos e Confraternizações
10,10,Janeiro,2024,"56,49",PG,Manutenção e Suporte
7,9,Janeiro,2024,"200,00",PG,Diversos
7,7,Janeiro,2024,"31,00",PG,Alimentação
0,0,Janeiro,2024,"300,00",PG,Transporte
4,4,Janeiro,2024,"15,00",PG,Diversos
11,12,Janeiro,2024,"15,00",PG,Diversos
12,12,Janeiro,2024,"15,00",PG,Diversos
5,5,Fevereiro,2024,"1.665,49",PG,Tributos e Obrigações
5,5,Fevereiro,2024,"204,88",PG,Utilidades
5,5,Fevereiro,2024,"789,45",PG,Contabilidade
6,6,Fevereiro,2024,"833,05",PG,Salários
6,6,Fevereiro,2024,"1.729,39",PG,Salários
6,6,Fevereiro,2024,"1.519,17",PG,Salários
6,6,Fevereiro,2024,"2.334,11",PG,Salários
6,6,Fevereiro,2024,"1.500,28",PG,Salários
6,6,Fevereiro,2024,"1.604,67",PG,Salários
6,6,Fevereiro,2024,"1.352,80",PG,Pro Labore
6,6,Fevereiro,2024,"1.352,80",PG,Pro Labore
6,6,Fevereiro,2024,"500,00",PG,Auxílios e Adiantamentos
7,7,Fevereiro,2024,"1.010,63",PG,Tributos e Obrigações
8,8,Fevereiro,2024,"4.315,03",PG,Aluguel
9,9,Fevereiro,2024,"200,00",PG,Bônus e Incentivos
14,14,Fevereiro,2024,"10,69",PG,Rescisões
16,16,Fevereiro,2024,"180,74",PG,Utilidades
16,16,Fevereiro,2024,"61,34",PG,Utilidades
16,16,Fevereiro,2024,"642,90",PG,Utilidades
12,14,Fevereiro,2024,"720,44",PG,Equipamentos e Manutenção
14,14,Fevereiro,2024,"162,78",PG,Fornecedores
14,14,Fevereiro,2024,"48,42",PG,Fornecedores
19,19,Fevereiro,2024,"880,18",PG,Fornecedores
27,27,Fevereiro,2024,"831,69",PG,Fornecedores
